0
Top 🙌🏾
Sampai dengan selamat dan sudah dicoba berfungsi normal. Kualitas sesuai harga. Semoga awet. Seller gercep.
"packing aman. powerbank ini punya kapasitas besar mungkin dapat mengisi penuh hingga 3x untuk ponsel s21 ultra fe. produk dari soarfly ini juga menerima masukan daya dengan cepat. berharap awet, terima kasih"
"Barang bagus Alhamdulillah ,
Tapi gak respek beratnya"
"barang baik&#39; dan bagus, penjual juga Ndak neko neko,fast respon.."
"PB datang dg keadaan baik.lsg saya cas biar lebih awet.no drama&#34;.
semoga awet biar gak bikin emosi.🤣
makasih seller.kalo awet dan gK drama .pasti aq ajak teman&#34; buat beli ni Power Bank.👍"
Powerbank murah dengan berbagai macam fungsi
"cocok buat temen nongkrong, sesuai ekspektasi 👌🏾"
"Kinerja: bagus pengisian lumayan cepat
Desain: lumayan besar
Kondisi: sangat bagus
Barang sudah sampai dengan selamat 👍 
Untuk power bank nya berfungsi semua 💯🙏
Sesuai gambar produknya 👍"
"barang sdh diterima dengan kondiso baik,kemasan ok, sdh dicoba. dan berfungsi dgn baik, sekarang sdg di charge, semoga awet,trims utk penjual dan kurir🙏"
"Packing kurang bagus, masak iya langsung kerdus kayak gitu kayak barang bekas aja"
"Barang yang d klaim 60000 mah ternyata 30000 mah
Trus yang di klaim ktanya fast charging ternyata tidak
Desain brang yh lumayan lh"
power bank dan lampunya berfungsi dengan baik. tombol on dipencet dua kali langsung nyala lampunya. tombol on dipencet lama untuk mematikan power bank.
"Berfungsi dengan baik,,,"
"Saya sangat menyukainya, lampunya sangat terang, bisa mengisi daya ponsel 5 kali, saya sarankan untuk membelinya"
"Pengiriman cepat, buat cas juga cepat, semua jenis casan ada dr yg mulai tepsi, biasa, ip ada mantap gak bakal nyesel beli disini"
tidak tertulis di produk keterangan kapasitas bikin saya ragu dengan produk ini
Barang sdh dicoba bagus  dan berfungsi baik
"Kinerja: bagus
Desain: menarik dan sesuai ukaran pnjang dan besar semoga awet dan tahan
Warna: hitam"
"Barangnya sdh mendarat ni BossQu, tdk menyesal belanja disini krna barangnya sesuai dgn yg saya pesan dan juga kualitasnya tdk usah diragukan lagi pokoknya mantap abis,barangya saya sdh coba dan semuanya berfungsi dgn baik Terimah Kasih...🙏🙏🙏👍👍👍"
"Kejernihan lensa: mantap
Kualitas pengerjaan: detail bag"
Barang bagus dan ori serta tebal jg cepet sampe
"PRIMA!! Kualitas sih standard BAGUS! Tapi yang pasti pengiriman cepat, barang asli, segel atas bawah, ga dibuka-buka sama penjual. KEREN LAH! Serasa PRO!"
"Obeng nya sangat presisi, saya punya obeng lain tapi kadang kurang menggigit. nah ifixit toolkit cocok bagi orang yang baru mau belajar per bautan duniawi. 
- Alumni dari pembuat baut dol.."
"barangnya lengkap sesuai deskripsi.
kualitas bagus.

chat direspon dengan baik. 
terasa premiumnya. kotaknya pake magnet.
disegel. sip👍"
"lengkap, pengiriman aman dan cepat, terjamin original, bahan paling premium.

tetapi terdapat kerusakan di pinsetnya, coating belakangnya mengapa sudah mengelupas? menyebar juga mengelupasnya."
Barang nya ok. Looks original. Tpi emng munkin ifixit feels agak cheap. Kirain baham mya lebih berqualitas. Screwdriver nya kya dari bahan plastic murah. Tpi overall useable lah buat berbaikan kecil
"Barang lengkap, sesuai deskripsi, ori dari iFixit dan masil segel. Material sesuai ekspektasi. Pengiriman cepat. Semoga awet dan bongkar pasang alat elektronik jd lebih mudah... terima kasih"
"pengiriman aman, barang sudah digunakan untuk membongkar laptop dan hasilnya mantap 👍
rekomended seller 🤟"
Produk Original. Barang Sesuai Deskripsi. Lengkap.
Success toolsnya minimalis lengkap untuk buka macbook pro. Jadi bisa dibersihkan.
"Terima kasih paketnya sudah sampai dalam keadan baik dan normal tanpa lecet dan cacat sedikitpun,,
Semoga amanah,,"
